column-city,column-state,column-country,count,lat,lon
Rincón,Rincón,Puerto Rico,1,18.46633,-66.10572
Plain City,UT,USA,1,28.01888,-82.11469
Coeur d' Alene,ID,USA,1,47.67768,-116.78047
Yangebup,Western Australia,Australia,1,-33.86785,151.20732
Bensville,New South Wales,Australia,1,6.44716,-10.61283
Thomaston,CT,USA,1,-37.68333,145.01667
Outer Benson/ Texas Canyon/ Sibyl,AZ,USA,1,40.71427,-74.00597
Winamac,IN,USA,1,40.71427,-74.00597
Montara,CA,USA,1,40.71427,-74.00597
Darrington,WA,USA,1,41.74066,-71.30866
Pineville,KY,USA,1,41.72449,-81.24566
Haubstadt,IN,USA,1,40.71427,-74.00597
Cairo,KY,USA,1,30.06263,31.24967
Gallipolis,OH,USA,1,40.05594,17.99088
Near Starbuck,MN,USA,1,40.71427,-74.00597
Dateland,AZ,USA,1,29.02832,-81.30312
Conifer,CO,USA,1,40.71427,-74.00597
Angora,MN,USA,1,44.79884,-68.77265
Friant,CA,USA,1,40.71427,-74.00597
Smith Mills,KY,USA,1,40.71427,-74.00597
Duson,LA,USA,1,40.71427,-74.00597
,ON,Canada,1,43.70011,-79.4163
Howell Township,NJ,USA,1,40.66676,-75.49991
,Hesse,Germany,1,52.52437,13.41053
,VA,USA,1,40.71427,-74.00597
Yelm,WA,USA,1,40.71427,-74.00597
Montesano,WA,USA,1,40.71427,-74.00597
Navassa,NC,USA,1,40.71427,-74.00597
Ocean Isle Beach,NC,USA,1,40.71427,-74.00597
Bradford,ON,Canada,1,43.1334,-80.26636
Jumping Branch,WV,USA,1,40.71427,-74.00597
Cisco Grove,CA,USA,1,40.71427,-74.00597
Newbury Park,CA,USA,1,42.81259,-70.87728
Hiddenite,NC,USA,1,40.71427,-74.00597
Cannon AFB,NM,USA,1,40.71427,-74.00597
Pinetop,AZ,USA,1,40.71427,-74.00597
Lords Valley,PA,USA,1,32.39091,-110.96649
Absecon,NJ,USA,1,40.71427,-74.00597
Big Coppitt,FL,USA,1,40.71427,-74.00597
Heber City,UT,USA,1,40.71427,-74.00597
Wheatfield Twp.,MI,USA,1,40.71427,-74.00597
Near Mt. Vernon,ME,USA,1,40.71427,-74.00597
Hurley,WI,USA,1,40.71427,-74.00597
Peru,IN,USA,1,40.71427,-74.00597
Ringgold,LA,USA,1,40.71427,-74.00597
Winslow,IN,USA,1,40.71427,-74.00597
Rainhill,England,United Kingdom,1,51.50853,-0.12574
Not sure (was in airplane),,Unspecified,1,,
W.T. Wooten Wild Life Are,WA,USA,1,40.71427,-74.00597
Saint Labre,MB,Canada,1,45.40008,-74.13256
Mulvane,KS,USA,1,40.71427,-74.00597
,MI,USA,1,40.71427,-74.00597
Horseshoe Bay,TX,USA,1,40.71427,-74.00597
Fort Scott,KS,USA,1,40.71427,-74.00597
Tuscola,IL,USA,1,40.71427,-74.00597
Al Hofuf,Eastern Province,Saudi Arabia,1,25.36467,49.58764
Umatilla,FL,USA,1,40.71427,-74.00597
Driggs,ID,USA,1,40.71427,-74.00597
Ciliau Aeron,Wales,United Kingdom,1,51.50853,-0.12574
Seven Devils,NC,USA,1,40.71427,-74.00597
SE Arizona (I-10 EB),AZ,USA,1,40.71427,-74.00597
Skopje,Butel Municipality,Macedonia,1,41.99646,21.43141
Salida,CO,USA,1,38.84028,-97.61142
Edgemont,SD,USA,1,40.71427,-74.00597
winooski,VT,USA,1,40.71427,-74.00597
Mount Holly,NC,USA,1,40.71427,-74.00597
Gesves,Région Wallonne,Belgium,1,50.85045,4.34878
McComb,MS,USA,1,40.45921,-90.6718
Lahaina,HI,USA,1,40.71427,-74.00597
Sylmar,CA,USA,1,40.71427,-74.00597
Ocean Shores,WA,USA,1,39.74345,-74.28098
Angus,ON,Canada,1,43.70011,-79.4163
Karlsborg,Västra Götaland,Sweden,1,59.32938,18.06871
Teston (UK/England),,United Kingdom,1,51.50853,-0.12574
Strawberry lake,OR,USA,1,40.71427,-74.00597
Discovery Bay,CA,USA,1,40.71427,-74.00597
,Pará,Brazil,1,-23.5475,-46.63611
In-flight sighting,AR,USA,1,40.71427,-74.00597
Cedarcreek,MO,USA,1,40.71427,-74.00597
Sardis,MS,USA,1,40.71427,-74.00597
Fairgrove,MI,USA,1,40.71427,-74.00597
Boomer,NC,USA,1,40.71427,-74.00597
Topanga,CA,USA,1,40.71427,-74.00597
Gjilekë,Qarku i Vlorës,Albania,1,41.3275,19.81889
Beeville,TX,USA,1,40.79371,-74.15014
Clear Lake,CA,USA,1,38.95823,-122.62637
"Lordsburg (E of, on I-10; 10 mi. W of AZ)",NM,USA,1,40.71427,-74.00597
Poquoson,VA,USA,1,40.71427,-74.00597
Military training site,NM,USA,1,40.71427,-74.00597
Walford,ON,Canada,1,43.70011,-79.4163
Malki Varshets,Gabrovo,Bulgaria,1,42.69751,23.32415
Oahu,HI,USA,1,40.71427,-74.00597
Temperley,Provincia de Buenos Aires,Argentina,1,-34.61315,-58.37723
Coraopolis,PA,USA,1,40.71427,-74.00597
Galatia,IL,USA,1,36.38838,-86.44666
Locke,AR,USA,1,40.71427,-74.00597
Santuario,Liguria,Italy,1,6.13833,-75.26417
Parnell,MO,USA,1,40.71427,-74.00597
In flight,,Unspecified,1,,
Marble Falls,TX,USA,1,40.71427,-74.00597
Sobrado,Porto,Portugal,1,38.71667,-9.13333
Pine Bush,NY,USA,1,40.71427,-74.00597
Carolina Beach,NC,USA,1,40.71427,-74.00597
Weehawken,NJ,USA,1,40.71427,-74.00597
Lively,VA,USA,1,40.71427,-74.00597
Smithsburg,MD,USA,1,40.71427,-74.00597
Kalix,Norrbotten County,Sweden,1,59.32938,18.06871
Délı̨nę,NT,Canada,1,43.70011,-79.4163
Shortsville,NY,USA,1,40.81538,-73.04511
Lake Indoon in Western Australia,Western Australia,Australia,1,-33.86785,151.20732
Bayfield,CO,USA,1,40.71427,-74.00597
Roresanden,Agder,Norway,1,59.91273,10.74609
Cooloongup,Western Australia,Australia,1,-33.86785,151.20732
Iłowiec,Województwo lubelskie,Poland,1,52.22977,21.01178
Sharm El-Sheikh,South Sinai Governorate,Egypt,1,30.06263,31.24967
New Martinsville,WV,USA,1,40.71427,-74.00597
Orchard Park,NY,USA,1,41.63031,-87.85394
Swannanoa,NC,USA,1,40.71427,-74.00597
Grand Bay,AL,USA,1,38.76323,-121.16384
McCordsville,IN,USA,1,35.82348,-78.82556
Pateros,WA,USA,1,40.91677,-74.17181
Summerdale,PA,USA,1,40.71427,-74.00597
Grand Marais,MN,USA,1,42.96336,-85.66809
Dannevirke,Manawatū-Whanganui Region,New Zealand,1,-36.84853,174.76349
Fisherville,KY,USA,1,35.60095,-82.55402
Brookston,IN,USA,1,42.08343,-71.01838
Excelsior,MN,USA,1,40.71427,-74.00597
Salado,TX,USA,1,40.71427,-74.00597
Flushing,NY,USA,1,40.71427,-74.00597
Deep River,CT,USA,1,40.71427,-74.00597
Omnigovi,,Mongolia,1,47.90771,106.88324
Mt. Vernon,KY,USA,1,48.42122,-122.33405
Autaugaville,AL,USA,1,40.71427,-74.00597
West Toodyay,Western Australia,Australia,1,-33.86785,151.20732
Pink,OK,USA,1,40.71427,-74.00597
USS Enterprise (at sea),,Unspecified,1,,
Ross Lake,WA,USA,1,47.13014,-119.27808
Cheshire,Cheshire West and Chester,United Kingdom,1,41.49899,-72.90066
Young Harris,GA,USA,1,40.71427,-74.00597
,CO,USA,1,40.71427,-74.00597
Hypoluxo,FL,USA,1,40.71427,-74.00597
Zuni,VA,USA,1,40.71427,-74.00597
Middle Island,NY,USA,1,40.71427,-74.00597
Undisclosed,,Unspecified,1,,
Pisom Beach,CA,USA,1,40.71427,-74.00597
,HI,USA,1,40.71427,-74.00597
Dugway,UT,USA,1,40.71427,-74.00597
Shannon,MS,USA,1,40.71427,-74.00597
San Quentin,,Mexico,1,49.84889,3.28757
Cres,Primorje-Gorski Kotar County,Croatia,1,45.81444,15.97798
Hodsager,,Denmark,1,55.67594,12.56553
Barnsdall,OK,USA,1,40.71427,-74.00597
Mykolaiv,Mykolaiv Oblast,Ukraine,1,46.97625,31.99296
open ocean,,Unspecified,1,,
Meadville,PA,USA,1,40.79343,-73.41512
,NV,USA,1,40.71427,-74.00597
Shannonville,ON,Canada,1,43.70011,-79.4163
Roscommon,MI,USA,1,40.71427,-74.00597
,Quindío,Colombia,1,4.60971,-74.08175
Elmendorf AFB,AK,USA,1,40.71427,-74.00597
Rio Piedras,PR,USA,1,40.71427,-74.00597
Lake Como,PA,USA,1,40.71427,-74.00597
Alpine,CA,USA,1,29.93245,-95.38021
Lake Makokibatan (Canada),ON,Canada,1,43.70011,-79.4163
Ermioni,,Greece,1,37.98376,23.72784
Mosney Accomodation Centre,County Meath,Ireland,1,53.33306,-6.24889
Airway Heights,WA,USA,1,41.39005,-81.75958
Tonopah,AZ,USA,1,40.71427,-74.00597
Waseca,MN,USA,1,40.71427,-74.00597
Baker City,OR,USA,1,40.71427,-74.00597
,,Australia,1,-33.86785,151.20732
,AL,USA,1,40.71427,-74.00597
Woodinville,WA,USA,1,40.71427,-74.00597
Breezewood,PA,USA,1,40.71427,-74.00597
Papa flight area,WY,USA,1,40.71427,-74.00597
Canora,SK,Canada,1,43.70011,-79.4163
,PA,USA,1,40.71427,-74.00597
Killen,AL,USA,1,31.11712,-97.7278
Groveton,NH,USA,1,40.71427,-74.00597
Piru,CA,USA,1,40.71427,-74.00597
Mountain Lake Park,MD,USA,1,40.71427,-74.00597
"Atlantic Ocean (inflight, USN P-3)",,Atlantic Ocean,1,,
Caister on sea.,Norfolk,United Kingdom,1,51.50853,-0.12574
Pottsville,TX,USA,1,28.61222,-80.80755
Marine Corps Base Camp Foster,Okinawa Prefecture,Japan,1,35.6895,139.69171
Parkes,New South Wales,Australia,1,-33.86785,151.20732
Antrobus,England,United Kingdom,1,51.50853,-0.12574
Botwood,NL,Canada,1,43.70011,-79.4163
Orfordville,WI,USA,1,39.51394,-121.55776
Corydon,IN,USA,1,40.71427,-74.00597
Sullivan's Island,SC,USA,1,40.71427,-74.00597
Buncrana,County Donegal,Ireland,1,53.33306,-6.24889
Chouteau,OK,USA,1,40.71427,-74.00597
Ewa Beach,HI,USA,1,33.74141,-118.10479
Fort Irwin,CA,USA,1,40.71427,-74.00597
Djemaa Beni Habibi,Jijel Province,Algeria,1,36.73225,3.08746
Poipu,HI,USA,1,40.71427,-74.00597
St. Cloud,MN,USA,1,45.5608,-94.16249
Windom,MN,USA,1,40.71427,-74.00597
Chapin,SC,USA,1,45.18885,-93.39745
Jaloran,Western Australia,Australia,1,-33.86785,151.20732
Tallman/Airmont,NY,USA,1,40.71427,-74.00597
Jeannette,PA,USA,1,40.71427,-74.00597
dont know,,Unspecified,1,,
,AZ,USA,1,40.71427,-74.00597
Lovelock,NV,USA,1,40.71427,-74.00597
Pell City,AL,USA,1,21.39734,-157.97516
Echo Bay,ON,Canada,1,43.70011,-79.4163
Bryce Canyon City,UT,USA,1,40.71427,-74.00597
,NJ,USA,1,40.71427,-74.00597
South Haven,MN,USA,1,34.98898,-90.01259
Maumee,IN,USA,1,34.86676,-92.40432
Fort Payne,AL,USA,1,41.1306,-85.12886
Battle Mountain,NV,USA,1,40.31412,-112.00688
Loch Arbour,NJ,USA,1,40.71427,-74.00597
Mancelona,MI,USA,1,40.71427,-74.00597
Atlantic Ocean/Caribbean sea,,Unspecified,1,,
middlefield,CT,USA,1,40.71427,-74.00597
"U.S.Navy-USS Glover AGFF-1-Burmuda Triangle, FL",,Puerto Rico/Burmuda (between),1,,
Mount Olive,NJ,USA,1,36.20005,-86.51861
Ninilchik,AK,USA,1,40.71427,-74.00597
Vil'nians'k,Zaporiz'ka oblast,Ukraine,1,47.94768,35.44034
Lockhart,TX,USA,1,41.68199,-85.97667
,FL,USA,1,40.71427,-74.00597
Bryon,IL,USA,1,30.67436,-96.36996
Hallsville,OH,USA,1,40.81538,-73.04511
Clarkston,GA,USA,1,33.83141,-118.28202
Sigel,IL,USA,1,40.71427,-74.00597
"Atlantic Ocean (USCG Cutter ""Spencer"")",,Unspecified,1,,
Palos Verde (northeast of),CA,USA,1,40.71427,-74.00597
Willington,CT,USA,1,42.54648,-71.17367
Mendoza,NY,USA,1,-32.89084,-68.82717
"Sister Lakes, Michigan.",MI,USA,1,40.71427,-74.00597
Raritan,NJ,USA,1,40.71427,-74.00597
Snowflake,AZ,USA,1,40.71427,-74.00597
Verona,MO,USA,1,45.4299,10.98444
Wytheville,VA,USA,1,44.55201,-69.63171
out at sea east coast U.S.,,Internatonal Waters,1,,
,TX,USA,1,40.71427,-74.00597
Fort Johnson South,LA,USA,1,40.71427,-74.00597
Mount Compass--Mosquito Hill,South Australia,Australia,1,-33.86785,151.20732
Nr. Town of Porthmadog (UK/Wales),,United Kingdom,1,51.50853,-0.12574
Iron River,MI,USA,1,40.71427,-74.00597
Hancock,NY,USA,1,40.71427,-74.00597
McPherson,KS,USA,1,40.71427,-74.00597
Mendota,CA,USA,1,40.71427,-74.00597
Timpson,TX,USA,1,40.71427,-74.00597
Fon du Lac,WI,USA,1,43.775,-88.43883
Sumner (Lake Tapps),WA,USA,1,40.71427,-74.00597
Little Swan,MN,USA,1,40.71427,-74.00597
,NY,USA,1,40.71427,-74.00597
Near McCamey,TX,USA,1,40.71427,-74.00597
,,Marshall Islands,1,7.08971,171.38027
Pacific Ocean,,Unspecified,1,,
,,Ukraine,1,50.45466,30.5238
