column-city,column-state,column-country,count,lat,lon
Near Mt. Vernon,ME,USA,1,,
Hurley,WI,USA,1,,
Peru,IN,USA,1,,
Ringgold,LA,USA,1,,
Winslow,IN,USA,1,,
Rainhill,England,United Kingdom,1,,
Not sure (was in airplane),,Unspecified,1,,
W.T. Wooten Wild Life Are,WA,USA,1,,
Saint Labre,MB,Canada,1,,
Mulvane,KS,USA,1,,
,MI,USA,1,,
Horseshoe Bay,TX,USA,1,,
Fort Scott,KS,USA,1,,
Tuscola,IL,USA,1,,
Al Hofuf,Eastern Province,Saudi Arabia,1,,
Umatilla,FL,USA,1,,
Driggs,ID,USA,1,,
Ciliau Aeron,Wales,United Kingdom,1,,
Seven Devils,NC,USA,1,,
SE Arizona (I-10 EB),AZ,USA,1,,
Skopje,Butel Municipality,Macedonia,1,,
Salida,CO,USA,1,,
Edgemont,SD,USA,1,,
winooski,VT,USA,1,,
Mount Holly,NC,USA,1,,
Gesves,Région Wallonne,Belgium,1,,
McComb,MS,USA,1,,
Lahaina,HI,USA,1,,
Sylmar,CA,USA,1,,
Ocean Shores,WA,USA,1,,
Angus,ON,Canada,1,,
Karlsborg,Västra Götaland,Sweden,1,,
Teston (UK/England),,United Kingdom,1,,
Strawberry lake,OR,USA,1,,
Discovery Bay,CA,USA,1,,
,Pará,Brazil,1,,
In-flight sighting,AR,USA,1,,
Cedarcreek,MO,USA,1,,
Sardis,MS,USA,1,,
Fairgrove,MI,USA,1,,
Boomer,NC,USA,1,,
Topanga,CA,USA,1,,
Gjilekë,Qarku i Vlorës,Albania,1,,
Beeville,TX,USA,1,,
Clear Lake,CA,USA,1,,
"Lordsburg (E of, on I-10; 10 mi. W of AZ)",NM,USA,1,,
Poquoson,VA,USA,1,,
Military training site,NM,USA,1,,
Walford,ON,Canada,1,,
Malki Varshets,Gabrovo,Bulgaria,1,,
Oahu,HI,USA,1,,
Temperley,Provincia de Buenos Aires,Argentina,1,,
Coraopolis,PA,USA,1,,
Galatia,IL,USA,1,,
Locke,AR,USA,1,,
Santuario,Liguria,Italy,1,,
Parnell,MO,USA,1,,
In flight,,Unspecified,1,,
Marble Falls,TX,USA,1,,
Sobrado,Porto,Portugal,1,,
Pine Bush,NY,USA,1,,
Carolina Beach,NC,USA,1,,
Weehawken,NJ,USA,1,,
Lively,VA,USA,1,,
Smithsburg,MD,USA,1,,
Kalix,Norrbotten County,Sweden,1,,
Délı̨nę,NT,Canada,1,,
Shortsville,NY,USA,1,,
Lake Indoon in Western Australia,Western Australia,Australia,1,,
Bayfield,CO,USA,1,,
Roresanden,Agder,Norway,1,,
Cooloongup,Western Australia,Australia,1,,
Iłowiec,Województwo lubelskie,Poland,1,,
Sharm El-Sheikh,South Sinai Governorate,Egypt,1,,
New Martinsville,WV,USA,1,,
Orchard Park,NY,USA,1,,
Swannanoa,NC,USA,1,,
Grand Bay,AL,USA,1,,
McCordsville,IN,USA,1,,
Pateros,WA,USA,1,,
Summerdale,PA,USA,1,,
Grand Marais,MN,USA,1,,
Dannevirke,Manawatū-Whanganui Region,New Zealand,1,,
Fisherville,KY,USA,1,,
Brookston,IN,USA,1,,
Excelsior,MN,USA,1,,
Salado,TX,USA,1,,
Flushing,NY,USA,1,,
Deep River,CT,USA,1,,
Omnigovi,,Mongolia,1,,
Mt. Vernon,KY,USA,1,,
Autaugaville,AL,USA,1,,
West Toodyay,Western Australia,Australia,1,,
Pink,OK,USA,1,,
USS Enterprise (at sea),,Unspecified,1,,
Ross Lake,WA,USA,1,,
Cheshire,Cheshire West and Chester,United Kingdom,1,,
Young Harris,GA,USA,1,,
,CO,USA,1,,
Hypoluxo,FL,USA,1,,
Zuni,VA,USA,1,,
Middle Island,NY,USA,1,,
Undisclosed,,Unspecified,1,,
Pisom Beach,CA,USA,1,,
,HI,USA,1,,
Dugway,UT,USA,1,,
Shannon,MS,USA,1,,
San Quentin,,Mexico,1,,
Cres,Primorje-Gorski Kotar County,Croatia,1,,
Hodsager,,Denmark,1,,
Barnsdall,OK,USA,1,,
Mykolaiv,Mykolaiv Oblast,Ukraine,1,,
open ocean,,Unspecified,1,,
Meadville,PA,USA,1,,
,NV,USA,1,,
